1,云计算,16.199576875723654
2,虚拟机,12.878323050422443
3,虚拟化,9.6378861073692
4,云服务,6.373448253746283
5,VMware,5.081512015515758
6,Azure,4.652166087088478
7,Docker,4.250395252594686
8,阿里云,4.236456498350664
9,云存储,4.197461929969418
10,腾讯云,3.942998818749905
11,SaaS,3.703051300342453
13,SDN,3.238951184836944
14,私有云,3.20605616787433
16,分布式计算,2.8205323545508856
17,API,2.6103324449827543
18,DevOps,2.5769039158323817
19,混合云,2.56525711149494
20,公有云,2.3634181860667103
23,PaaS,1.940370427080772
24,IaaS,1.867225692683795
26,负载均衡,1.7390878690427236
27,IDC,1.7280334684036516
32,网易云,1.538054465343621
33,粒计算,1.474736002341589
34,SAN,1.400356210275825
42,SOA,1.292189132054595
46,OpenStack,1.259816943610371
48,容器技术,1.2130458686409684
57,边缘计算,1.0439799837456178
60,弹性计算,0.9987547290013759
73,雾计算,0.8930271792262864
93,Web服务,0.7878120888762603
99,BaaS,0.7579469722580042
111,金山云,0.7217951218504216
121,OneDrive,0.6804601809831238
132,隧道技术,0.6126855799361821
139,并行计算,0.6045535138783614
141,云原生,0.5999906812067468
181,效用计算,0.5311465569826639
208,NaaS,0.4804006250096549
238,霾计算,0.4598012649809153
306,GPGPU,0.45980126498091206
317,虚拟化平台,0.4567987994708426
359,网格计算,0.43464505771769874
428,Rackspace,0.3874251405321894
429,CloudStack,0.38742514053218924
431,CaaS,0.387425140532189
463,Xen,0.3737607220091797
515,微服务,0.3556104937083272
829,虚拟设备,0.31504901608346647
1087,百度云,0.31504901608346614
1254,华为云,0.3150490160834659
1403,VPC,0.3150490160834657
1438,云数据库,0.31504901608346564
1705,NFV,0.31504901608346536
1735,Libvirt,0.3150490160834653
1747,MaaS,0.31504901608346525
2092,多租户技术,0.3081704867293233
2267,云部署,0.25956066064389344
4387,大数据平台,0.18945096136581147
5016,Bluemix,0.17029676718601808
5260,Hadoop,0.17029676718601808
5976,硬件虚拟化,0.17029676718601808
6010,无服务器计算,0.17029676718601808
6011,FaaS,0.17029676718601808
6513,Google云,0.17029676718601808
6959,云盘,0.17029676718601808
7489,并发计算,0.17029676718601808
7623,云硬盘,0.17029676718601808
